Tom Brady
Peyton Manning
Joe Montana
Brett Favre
Drew Brees
Aaron Rodgers
Patrick Mahomes
Dan Marino
John Elway
Terry Bradshaw
Ben Roethlisberger
Steve Young
Jim Kelly
Russell Wilson
Josh Allen
Joe Burrow
Justin Herbert
Lamar Jackson
Jalen Hurts
Dak Prescott
Barry Sanders
Emmitt Smith
Walter Payton
Adrian Peterson
LaDainian Tomlinson
Marshall Faulk
Eric Dickerson
O.J. Simpson
Jerome Bettis
Tony Dorsett
Earl Campbell
Bo Jackson
Marcus Allen
Christian McCaffrey
Derrick Henry
Saquon Barkley
Nick Chubb
Jonathan Taylor
Jerry Rice
Randy Moss
Terrell Owens
Larry Fitzgerald
Calvin Johnson
Michael Irvin
DeAndre Hopkins
Julio Jones
Davante Adams
Tyreek Hill
Stefon Diggs
Cooper Kupp
Justin Jefferson
Travis Kelce
Rob Gronkowski
Tony Gonzalez
Shannon Sharpe
Antonio Gates
George Kittle
Jason Witten
Reggie White
Lawrence Taylor
Ray Lewis
Brian Urlacher
Junior Seau
Patrick Willis
Derrick Brooks
J.J. Watt
T.J. Watt
Aaron Donald
Von Miller
Michael Strahan
DeMarcus Ware
Bruce Smith
Warren Sapp
Charles Woodson
Deion Sanders
Darrelle Revis
Champ Bailey
Richard Sherman
Rod Woodson
Troy Polamalu
Ed Reed
Brian Dawkins
Ronnie Lott
Joe Namath
Johnny Unitas
Roger Staubach
Bart Starr
Fran Tarkenton
Ken Stabler
Phil Simms
Kurt Warner
Eli Manning
Cam Newton
Matt Ryan
Matthew Stafford
Nick Foles
Joe Flacco
Colin Kaepernick
Doug Williams
Jim Brown
Gale Sayers
Steve McNair
Randall Cunningham
Michael Vick
